Adverbs of Manner
agresywnie - aggressively
bezpiecznie - safely
cicho - quietly
delikatnie - gently
energicznie - energetically
głośno - loudly
lubiąc - lovingly
ostro - sharply
powoli - slowly
precyzyjnie - precisely
przyjemnie - pleasantly
szybko - quickly
troskliwie - tenderly
uważnie - attentively
wesoło - cheerfully
śmiało - boldly
śpiesznie - hastily
żwawo - briskly
z łatwością - easily
zgranie - smoothly
przypadkowo - accidentally
złośliwie - angrily
z niepokojem - anxiously
niezręcznie - awkwardly
źle - badly
pięknie - beautifully
ślepo - blindly
odważnie - boldly
odważnie - bravely
jasno - brightly
zajęcie - busily
spokojnie - calmly
ostrożnie - carefully
nieostrożnie - carelessly
ostrożnie - cautiously
wesoło - cheerfully
jasno - clearly
blisko - closely
poprawnie - correctly
odważnie - courageously
okrutnie - cruelly
śmiało - daringly
celowo - deliberately
z wątpliwością - doubtfully
chętnie - eagerly
łatwo - easily
elegancko - elegantly
ogromnie - enormously
entuzjastycznie - enthusiastically
równo - equally
ostatecznie - eventually
dokładnie - exactly
wiernie - faithfully
szybko - fast
śmiertelnie - fatally
dziko - fiercely
czule - fondly
głupio - foolishly
na szczęście - fortunately
szczerze - frankly
gorączkowo - frantically
hojnie - generously
delikatnie - gently
chętnie - gladly
z wdziękiem - gracefully
chciwie - greedily
szczęśliwie - happily
ciężko - hard
pochopnie - hastily
zdrowo - healthily
szczerze - honestly
łapczywie - hungrily
pośpiesznie - hurriedly
niewystarczająco - inadequately
pomysłowo - ingeniously
niewinnie - innocently
dociekliwie - inquisitively
drażliwie - irritably
radośnie - joyously
sprawiedliwie - justly
uprzejmie - kindly
leniwie - lazily
luźno - loosely
głośno - loudly
szaleńczo - madly
śmiertelnie - mortally
tajemniczo - mysteriously
schludnie - neatly
nerwowo - nervously
hałaśliwie - noisily
posłusznie - obediently
otwarcie - openly
boleśnie - painfully
cierpliwie - patiently
doskonale - perfectly
uprzejmie - politely
słabo - poorly
potężnie - powerfully
natychmiast - promptly
punktualnie - punctually
szybko - quickly
cicho - quietly
szybko - rapidly
rzadko - rarely
naprawdę - really
lekkomyślnie - recklessly
regularnie - regularly
niechętnie - reluctantly
wielokrotnie - repeatedly
słusznie - rightfully
szorstko - roughly
niegrzecznie - rudely
smutno - sadly
bezpiecznie - safely
egoistycznie - selfishly
rozsądnie - sensibly
poważnie - seriously
ostro - sharply
nieśmiało - shyly
cicho - silently
śpiąco - sleepily
powoli - slowly
płynnie - smoothly
tak - so
delikatnie - softly
poważnie - solemnly
szybko - speedily
skrycie - stealthily
surowo - sternly
prosto - straight
głupio - stupidly
pomyślnie - successfully
nagle - suddenly
podejrzliwie - suspiciously
szybko - swiftly
czule - tenderly
napięcie - tensely
zamyślenie - thoughtfully
szczelnie - tightly
prawdziwie - truthfully
niespodziewanie - unexpectedly
zwycięsko - victoriously
gwałtownie - violently
żywiołowo - vivaciously
ciepło - warmly
słabo - weakly
zmęczenie - wearily
dobrze - well
dziko - wildly
mądrze - wisely
dobrze - well
szybko - fast
prosto - straight
ciężko - hard
głośno - loudly
z dumą - proudly
podejrzliwie - suspiciously
dziwnie - strangely
uprzejmie - kindly
łatwo - easily
niegrzecznie - rudely
schludnie - neatly
szybko - quickly
hojnie - generously
chętnie - eagerly
przypadkowo - accidentally
szybko - rapidly
łapczywie - hungrily
głupio - foolishly
wesoło - cheerfully
