Adverbs of Time
zawsze - always
czasem - sometimes
często - often
rzadko - rarely
nigdy - never
codziennie - daily
wiecznie - eternally
wczoraj - yesterday
dziś - today
jutro - tomorrow
teraz - now
wcześnie - early
późno - late
natychmiast - immediately
wkrótce - soon
nadal - still
zaraz - right away
od czasu do czasu - from time to time
teraz właśnie - right now
dopiero co - just now
dziś - today
jutro - tomorrow
wczoraj - yesterday
teraz - now
później - later
wcześniej - earlier
często - often
rzadko - rarely
zawsze - always
czasami - sometimes
nigdy - never
od czasu do czasu - from time to time
wiecznie - forever
natychmiast - immediately
już - already
jeszcze - still/yet
od razu - right away
codziennie - daily
rano - in the morning
wieczorem - in the evening
jutro - tomorrow
dziś wieczorem - tonight
wczoraj - yesterday
teraz - now
potem - then
dzisiaj - today
już - already
codziennie - daily
ostatni/ostatnia/ostatnie - last
następny/następna/następne - next
wcześniej - previously
po - after
później - afterwards
wcześnie - early
późno - late
potem - later
od - since
wciąż - still
właśnie - just
rzadko - seldom
już - already
przed - before
wcześnie - early
wcześniej - earlier
w końcu - eventually
wreszcie - finally
pierwszy - first
dawniej - formerly
właśnie - just
ostatni - last
późno - late
później - later
ostatnio - lately
następny - next
wcześniej - previously
niedawno - recently
od - since
wkrótce - soon
wciąż - still
jeszcze - yet
