i - and
lub/albo - or
ale - but
czy - whether/if
gdy - when
ponieważ/bo - because
jeśli - if
a także - and also
zanim - before
chociaż - although
"natomiast - however, whereas"
dlatego - therefore
"mimo to - nevertheless, despite that"
"o ile - provided that, as long as"
w przeciwnym razie - otherwise
"pomimo że - although, even though"
"nieważne - no matter, regardless of"
"tak jak - just like, as"
"z kolei - on the other hand, in turn"
z drugiej strony - on the other hand
"wszystko to - all that, everything"
"następnie - next, then"
"jednakże - however, nevertheless"
"ponadto - furthermore, moreover"
"mianowicie - namely, specifically"
"tymczasem - meanwhile, in the meantime"
"niemniej jednak - nonetheless, nevertheless"
"z tego powodu - for this reason, because of that"
"zresztą - moreover, besides"
"w rzeczywistości - in fact, actually"
zamiast - instead of
dopóki - until
"aczkolwiek - although, though"
"niewątpliwie - undoubtedly, unquestionably"
"przede wszystkim - above all, first and foremost"
"bez względu na - regardless of, irrespective of"
"poza tym - besides, moreover"
"przedtem - before, previously"
z tego co wiem - from what I know
"mówiąc szczerze - to be honest, honestly speaking"
"wobec tego - therefore, thus"
"w każdym razie - anyway, in any case"
"gdyż - because, as"
"ostatecznie - ultimately, finally"
"również - also, too"
"podczas gdy - while, whereas"
"wszystkim, co jest - whatever"
"z kolei - in turn, on the other hand"
"tak więc - so, therefore"
"mianowicie - that is, namely"
