administracja (f)/administration
adres (m)/address
agencja (f)/agency
agent (m)/agent
aktor (m)/actor
alarm (m)/alarm
alkohol (m)/alcohol
ambicja (f)/ambition
analityk (m)/analyst
analiza (f)/analysis
aparat (m)/camera
apartament (m)/apartment
apel (m)/appeal
aplikacja (f)/application
argument (m)/argument
armia (f)/army
artykuł (m)/article
aspekt (m)/aspect
asystent (m)/assistant
atmosfera (f)/atmosphere
autobus (m)/bus
autor (m)/author
autostrada (f)/highway
babcia (f)/grandmother
badanie (n)/research
bałagan (m)/mess
bank (m)/bank
bar (m)/bar
baseball (n)/baseball
basen (m)/pool
baza (f)/base
baza danych (f)/database
bezpieczeństwo (n)/safety, security
biblioteka (f)/library
bieg (m)/gear
bilet (m)/ticket
bit (m)/bit
bitwa (f)/battle
biurko (n)/desk
biuro (n)/office
biznes (m)/business
błąd (m)/error, mistake
blok (m)/block
błoto (n)/mud
Bóg (m)/god
bogactwo (n)/wealth
ból (m)/pain
brak (m)/lack
brama (f)/gate
brat (m)/brother
brud (m)/dirt
budynek (m)/building
budżet (m)/budget
burza (f)/storm
but (m)/shoe, boot
butelka (f)/bottle
cecha (f)/feature
cegła (f)/brick
cel (m)/purpose, target
celebracja (f)/celebration
cena (f)/price
centrum handlowe (n)/mall
chemia (f)/chemistry
chip (m)/chip
chleb (m)/bread
chłopak (m)/boy, boyfriend
chmura (f)/cloud
choroba (f)/disease
ciało (n)/body
ciastko (n)/cookie
ciasto (n)/cake, pie
ciepło (n)/heat
cierpliwość (f)/patience
ciężarówka (f)/truck
cios (m)/blow
ciśnienie (n)/pressure
college (m)/college
córka (f)/daughter
cukier (m)/sugar
cukierek (m)/candy
ćwiczenie (n)/exercise
ćwierć (f)/quarter
cykl (m)/cycle
czapka (f)/cap
czarny (m)/black
czas (m)/time
czekolada (f)/chocolate
czerwony (m)/red
część (f)/part
członek (m)/member
członkostwo (n)/membership
człowiek (m)/man
czyn (m)/act
czynnik (m)/factor
czytanie (n)/reading
dach (m)/roof
dane (pl)/data
danie (n)/dish
data (f)/date
dealer (m)/dealer
debata (f)/debate
decyzja (f)/decision
definicja (f)/definition
depresja (f)/depression
deszcz (m)/rain
diabeł (m)/devil
diament (m)/diamond
dieta (f)/diet
dług (m)/debt
długopis (m)/pen
długość (f)/length
dno (n)/bottom
dochód (m)/income
dodatek (m)/addition
dokument (m)/document
dom (m)/house, home
dostawa (f)/delivery
dostęp (m)/access
doświadczenie (n)/experience
dowód (m)/proof, evidence
drabina (f)/ladder
dramat (m)/drama
drewno (n)/wood
droga (f)/way, road
drużyna (f)/team
drzewo (n)/tree
drzwi (pl)/door
duch (m)/spirit
duma (f)/pride
dwa (n)/two
dym (m)/smoke
dyrektor (m)/director
dyscyplina (f)/discipline
dysk (m)/disk
dyskusja (f)/discussion
dystrybucja (f)/distribution
dywan (m)/carpet
dziadek (m)/grandfather
dział (m)/department
działalność (f)/activity
działanie (n)/action
dzieciństwo (n)/childhood
dziecko (n)/child, baby
dzielnica (f)/district
dzień (m)/day
dziewczyna (f)/girlfriend, girl
dziura (f)/hole
dźwięk (m)/sound
dzwonek (m)/bell
edukacja (f)/education
efekt (m)/effect
egzamin (m)/examination, exam
ekonomia (f)/economics
ekran (m)/screen
ekspert (m)/expert
emerytura (f)/pension
emocja (f)/emotion
energia (f)/energy
entuzjazm (m)/enthusiasm
esej (m)/essay
etap (m)/stage
facet (m)/guy
fajka (f)/pipe
fakt (m)/fact
fala (f)/wave
fan (m)/fan
farba (f)/paint
farma (f)/farm
faza (f)/phase
figura (f)/figure
filiżanka (f)/cup
film (m)/movie, film
filozofia (f)/philosophy
finanse (pl)/finance
fioletowy (m)/purple
firma (f)/company
fizyka (f)/physics
forma (f)/form
fortuna (f)/fortune
fraza (f)/phrase
funkcja (f)/function
funt (m)/pound
gałąź (f)/branch
garaż (m)/garage
gardło (n)/throat
garnek (m)/pot
garnitur (m)/suit
gaz (m)/gas
gazeta (f)/newspaper
gen (m)/gene
gitara (f)/guitar
gleba (f)/soil
głębokość (f)/depth
głos (m)/voice
głowa (f)/head
godzina (f)/hour
golf (m)/golf
góra (f)/mountain
gorzki (m)/bitter
gość (m)/guest
gospodarka (f)/economy
gospodarz (m)/host
gotówka (f)/cash
gra (f)/game
granica (f)/border
grunt (m)/ground
grupa (f)/group
gwarancja (f)/guarantee
gwiazda (f)/star
gwóźdź (m)/nail
hak (m)/hook
hałas (m)/noise
handel (m)/trade
harmonogram (m)/schedule
herbata (f)/tea
hipoteka (f)/mortgage
historia (f)/history
historyk (m)/historian
horror (m)/horror
hotel (m)/hotel
hrabstwo (n)/county
ideał (m)/ideal
ilość (f)/quantity, amount
impreza (f)/party
incydent (m)/incident
inflacja (f)/inflation
informacja (f)/information
inicjatywa (f)/initiative
inspekcja (f)/inspection
inspektor (m)/inspector
instancja (f)/instance
instrukcja (f)/instruction
instytucja (f)/establishment
intencja (f)/intention
interakcja (f)/interaction
internet (m)/internet
inwestycja (f)/investment
inżynier (m)/engineer
inżynieria (f)/engineering
ja (f)/self
jabłko (n)/apple
jajko (n)/egg
jakość (f)/quality
jednostka (f)/unit
jedzenie (n)/food
jezioro (n)/lake
język (m)/language, tongue
kabel (m)/cable
kalendarz (m)/calendar
kampania (f)/campaign
kanał (m)/channel
kanapka (f)/sandwich
kandydat (m)/candidate
kapelusz (m)/hat
kąpiel (f)/bath
kapitał (m)/capital
kara (f)/penalty
kariera (f)/career
karta (f)/card
kasa (f)/till
kąt (m)/angle
katastrofa (f)/disaster
kategoria (f)/category
kawa (f)/coffee
kawałek (m)/piece
kierowca (m)/driver
kierunek (m)/direction
kij (m)/bat
kiść (f)/bunch
kłamstwo (n)/lie
klasa (f)/class
klatka piersiowa (f)/chest
klient (m)/customer, client
kliknięcie (n)/click
klimat (m)/climate
kłoda (f)/log
kłopot (m)/trouble, bother
klub (m)/club
klucz (m)/key
kobieta (f)/woman
kod (m)/code
kolano (n)/knee
kolega (m)/mate
kolejność (f)/order
kolekcja (f)/collection
koło (n)/wheel
kombinacja (f)/combination
komentarz (m)/comment
komfort (m)/comfort
komisja (f)/commission
komitet (m)/committee
komórka (f)/cell
komputer (m)/computer
komunikacja (f)/communication
koń (m)/horse
koncert (m)/concert
konferencja (f)/conference
koniec (m)/end
konkurencja (f)/competition
konkurs (m)/contest
konsekwencja (f)/consequence
konserwacja (f)/maintenance
konstrukcja (f)/construction
kontakt (m)/contact
kontekst (m)/context
konto (n)/account
kontrola (f)/control
kontuzja (f)/injury
kopia (f)/copy
kort (m)/court
korzyść (f)/benefit
kość (f)/bone
kościół (m)/church
koszula (f)/shirt
koszyk (m)/basket
kot (m)/cat
kraj (m)/country
krajobraz (m)/landscape
krawędź (f)/edge
kredyt (m)/credit
krew (f)/blood
krewny (m)/relative
krok (m)/step
król (m)/king
królowa (f)/queen
kromka (f)/slice
kropka (f)/dot
kropla (f)/drop
krowa (f)/cow
krytyka (f)/criticism
krzesło (n)/chair
krzywa (f)/curve
ksiądz (m)/priest
książka (f)/book
kształt (m)/shape
kuchnia (f)/kitchen
kultura (f)/culture
kumpel (m)/buddy
kupujący (m)/buyer
kurczak (m)/chicken
kurort (m)/resort
kurs (m)/course
kurz (m)/dust
kuzyn (m)/cousin
kwadrat (m)/square
