Abandoned - Opuszczony
Abbreviated - Skrócony
Accurate - Precyzyjny
Addicted - Uzależniony
Adorable - Uroczy
Adventurous - Przygodowy
Afraid - Przestraszony
Aggressive - Agresywny
Alcoholic - Alkoholowy
Ambitious - Ambitny
Ancient - Starożytny
Angry - Zły
Animated - Ożywiony
Annoying - Denerwujący
Anxious - Zaniepokojony
Arrogant - Arogancki
Ashamed - Zawstydzony
Attractive - Atrakcyjny
Awesome - Niesamowity
Awful - Okropny
Bad - Zły
Basic - Podstawowy
Beautiful - Piękny
Beneficial - Korzystny
Best - Najlepszy
Bias - Stronniczy
Big - Duży
Bitter - Gorzki
Black - Czarny
Blue - Niebieski
Boring - Nudny
Bright - Jasny
Broad - Szeroki
Broken - Złamany
Busy - Zajęty
Calm - Spokojny
Capable - Zdolny
Careful - Ostrożny
Careless - Niedbały
Caring - Troskliwy
Cautious - Ostrożny
Charming - Urokliwy
Cheap - Tani
Cheerful - Radosny
Chubby - Puszysty
Clean - Czysty
Clever - Sprytny
Clumsy - Niezdarny
Cold - Zimny
Colorful - Kolorowy
Comfortable - Wygodny
Concerned - Zaniepokojony
Confused - Zdezorientowany
Crowded - Zatłoczony
Cruel - Okrutny
Curious - Ciekawy
Curly - Kręcony
Cute - Uroczy
Daily - Codzienny
Damaged - Uszkodzony
Dangerous - Niebezpieczny
Dark - Ciemny
Deep - Głęboki
Delicate - Delikatny
Delicious - Pyszny
Depressed - Przygnębiony
Determined - Zdecydowany
Different - Inny
Dirty - Brudny
Disgusting - Obrzydliwy
Dry - Suchy
Dusty - Zakurzony
Early - Wczesny
Educated - Wykształcony
Efficient - Wydajny
Elderly - Starszy
Elegant - Elegancki
Embarrassed - Zakłopotany
Empty - Pusty
Encouraging - Zachęcający
Enthusiastic - Entuzjastyczny
Excellent - Doskonały
Exciting - Ekscytujący
Expensive - Drogi
Fabulous - Fantastyczny
Fair - Sprawiedliwy
Faithful - Wierny
Famous - Sławny
Fancy - Wyszukany
Fantastic - Fantastyczny
Fast - Szybki
Fearful - Pełen strachu
Fearless - Nieustraszony
Foolish - Głupi
Forgetful - Zapominalski
Friendly - Przyjazny
Funny - Śmieszny
Gentle - Delikatny
Glamorous - Szykowny
Glorious - Wspaniały
Gorgeous - Wspaniały
Grateful - Wdzięczny
Great - Wielki
Greedy - Chciwy
Green - Zielony
Handsome - Przystojny
Happy - Szczęśliwy
Harsh - Surowy
Healthy - Zdrowy
Heavy - Ciężki
Helpful - Pomocny
Hilarious - Komiczny
Historical - Historyczny
Horrible - Okropny
Hot - Gorący
Huge - Ogromny
Humorous - Humorystyczny
Hungry - Głodny
Ignorant - Ignorujący
Illegal - Nielegalny
Imaginary - Wyobrażony
Impolite - Nieuprzejmy
Important - Ważny
Impossible - Niemożliwy
Innocent - Niewinny
Intelligent - Inteligentny
Interesting - Interesujący
Jealous - Zazdrosny
Jolly - Wesoły
Kind - Uprzejmy
Large - Duży
Legal - Legalny
Light - Jasny
Literate - Wykształcony
Little - Mały
Lively - Pełen życia
Lonely - Samotny
Loud - Głośny
Lovely - Uroczy
Lucky - Szczęśliwy
Macho - Męski
Magical - Magiczny
Magnificent - Wspaniały
Massive - Masywny
Mature - Dojrzały
Mean - Złośliwy
Messy - Zabałaganiony
Modern - Nowoczesny
Narrow - Wąski
Nasty - Wstrętny
Naughty - Niegrzeczny
Nervous - Nerwowy
New - Nowy
Noisy - Hałaśliwy
Nutritious - Odżywczy
Obedient - Posłuszny
Obese - Otyły
Old - Stary
Overconfident - Zbyt pewny siebie
Peaceful - Spokojny
Pink - Różowy
Polite - Uprzejmy
Poor - Biedny
Powerful - Potężny
Precious - Cenny
Pretty - Ładny
Proud - Dumny
Quick - Szybki
Quiet - Cichy
Rapid - Szybki
Rare - Rzadki
Red - Czerwony
Remarkable - Godny uwagi
Responsible - Odpowiedzialny
Rich - Bogaty
Romantic - Romantyczny
Royal - Królewski
Rude - Niegrzeczny
Secretive - Tajemniczy
Selfish - Samolubny
Serious - Poważny
Sharp - Ostry
Shiny - Błyszczący
Shocking - Szokujący
Short - Krótki
Shy - Nieśmiały
Silly - Głupi
Sincere - Szczery
Skinny - Chudy
Slim - Szczupły
Slow - Wolny
Small - Mały
Soft - Miękki
Spicy - Pikantny
Spiritual - Duchowy
Strong - Silny
Successful - Odnoszący sukcesy
Sweet - Słodki
Talented - Utalentowany
Tall - Wysoki
Tasteful - Gustowny
Tasty - Smaczny
Temperate - Umiarkowany
Tense - Napięty
Terrible - Okropny
Terrific - Wspaniały
Thankful - Wdzięczny
Therapeutic - Terapeutyczny
Thick - Gruby
Thin - Cienki
Thorough - Dokładny
Thoughtful - Troskliwy
Tiny - Malutki
Ugly - Brzydki
Unique - Unikalny
Untidy - Nieporządny
Upset - Zmartwiony
Victorious - Zwycięski
Violent - Gwałtowny
Warm - Ciepły
Weak - Słaby
Wealthy - Bogaty
Wide - Szeroki
Wise - Mądry
Witty - Dowcipny
Wonderful - Cudowny
Worried - Zmartwiony
Young - Młody
Youthful - Młodzieńczy
