zawsze - always
czasem - sometimes
często - often
rzadko - seldom, rarely
nigdy - never
codziennie - daily
wiecznie - eternally, forever
wczoraj - yesterday
dziś - today
jutro - tomorrow
teraz - now
wcześnie - early
późno - late
natychmiast - immediately
wkrótce - soon
nadal - still
zaraz - right away
od czasu do czasu - from time to time
teraz właśnie - right now
dopiero co - just now
później - later, afterwards
wcześniej - earlier, previously
czasami - sometimes
już - already
jeszcze - still/yet, yet
od razu - right away
rano - in the morning
wieczorem - in the evening
dziś wieczorem - tonight
potem - later, then
dzisiaj - today
ostatni/ostatnia/ostatnie - last
następny/następna/następne - next
po - after
od - since
wciąż - still
właśnie - just
przed - before
w końcu - eventually
wreszcie - finally
pierwszy - first
dawniej - formerly
ostatni - last
ostatnio - lately
następny - next
niedawno - recently
